-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.030,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.030,  0.214
-183.800, 80.195, 0.054,  0.247
-183.799, 80.192, 0.124,  0.280
-183.797, 80.184, 0.247,  0.313
-183.794, 80.172, 0.362,  0.346
-183.788, 80.156, 0.478,  0.379
-183.780, 80.138, 0.535,  0.412
-183.770, 80.118, 0.608,  0.445
-183.758, 80.096, 0.676,  0.478
-183.741, 80.070, 0.809,  0.511
-183.722, 80.039, 0.969,  0.544
-183.701, 80.004, 1.132,  0.577
-183.680, 79.963, 1.295,  0.610
-183.657, 79.917, 1.451,  0.643
-183.634, 79.867, 1.598,  0.676
-183.611, 79.812, 1.738,  0.709
-183.586, 79.754, 1.867,  0.742
-183.562, 79.691, 1.980,  0.775
-183.537, 79.626, 2.077,  0.808
-183.512, 79.558, 2.160,  0.841
-183.486, 79.488, 2.231,  0.874
-183.461, 79.416, 2.289,  0.907
-183.435, 79.343, 2.338,  0.940
-183.409, 79.268, 2.377,  0.973
-183.383, 79.192, 2.409,  1.006
-183.357, 79.116, 2.434,  1.039
-183.331, 79.039, 2.454,  1.072
-183.305, 78.961, 2.468,  1.105
-183.279, 78.883, 2.479,  1.138
-183.253, 78.804, 2.486,  1.171
-183.227, 78.726, 2.491,  1.204
-183.201, 78.647, 2.493,  1.237
-183.175, 78.568, 2.493,  1.270
-183.150, 78.490, 2.492,  1.303
-183.125, 78.411, 2.489,  1.336
-183.100, 78.332, 2.486,  1.369
-183.075, 78.254, 2.482,  1.402
-183.050, 78.175, 2.477,  1.435
-183.026, 78.096, 2.472,  1.468
-183.002, 78.018, 2.466,  1.501
-182.978, 77.940, 2.460,  1.534
-182.954, 77.862, 2.454,  1.567
-182.931, 77.783, 2.448,  1.600
-182.908, 77.705, 2.443,  1.633
-182.885, 77.628, 2.437,  1.666
-182.863, 77.550, 2.431,  1.699
-182.841, 77.472, 2.425,  1.732
